names,cas number,smiles,kso4,kOH_rescale,chemical class,Set
2-[4-(2-methylpropyl)phenyl]propanoic acid,58560-75-1,CC(C)Cc1ccc(cc1)C(C)C(O)=O,"3,80E+09","0,90014894",CarboxylicAcid,train
"[(2R,3S,4R,5R)-5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate",27416-86-0,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1CO[P](O)(O)=O)N2C=CC(=O)NC2=O,"6,00E+07","0,598467592",Alcohol,train
1-ethenoxy-2-methylpropane,109-53-5,CC(C)COC=C,"1,50E+09","0,832551104",Ether,train
Benzamide,55-21-0,NC(=O)c1ccccc1,"1,90E+08","0,682292903",Amide,train
trimethyl-phenylazanium hydroxide,3426-74-2,[OH-].C[N+](C)(C)c1ccccc1,"1,50E+08","0,665102207",Amine,train
Did not work,34787-01-4,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](C([O-])=O)c3cscc3)C(=O)N2[C@H]1C([O-])=O,"8,00E+08","0,786837342",CarboxylicAcid,train
"1,2-Dibromobenzene",583-53-9,Brc1ccccc1Br,"4,00E+08","0,736430201",Halogen,train
"N,N-dimethylnitrous amide",62-75-9,CN(C)N=O,"1,50E+10",1,Amine,train
12143-45-2,12143-45-2,[O-][S](=O)(=O)=O,"4,10E+07","0,570777004",Sulfur,train
1-bromo-2-chloroethyne,107-04-0,ClCCBr,"3,00E+05","0,213162658",Halogen,train
"1,3-Dichlorobenzene",541-73-1,Clc1cccc(Cl)c1,"1,10E+09","0,809995976",Halogen,train
3-acetyloxypropyl acetate,628-66-0,CC(=O)OCCCOC(C)=O,"4,30E+06","0,406791721",Ester,train
"(2R,3R,4S,5R)-2-(6-dimethylaminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol",2620-62-4,CN(C)c1ncnc2n(cnc12)[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O,"3,90E+09","0,902037933",Amine,train
ethanol,64-17-5,CCO,"5,60E+07","0,593450283",Alcohol,train
7H-purin-6-amine,73-24-5,Nc1ncnc2nc[nH]c12,"4,60E+09","0,914042884",Amine,train
aminothiourea,79-19-6,NNC(N)=S,"9,20E+09","0,964450025",Sulfur,train
Butan-1-ol,71-36-3,CCCCO,"8,10E+07","0,620291837",Alcohol,train
hydrogen phosphite,15477-76-6,OP([O-])[O-],"6,20E+07","0,600852138",Phosporous,train
Oxirane,75-21-8,C1CO1,"1,12E+08","0,643857424",Ether,train
methyl 2-(2-methoxy-2-oxoethyl)sulfanylacetate,16002-29-2,COC(=O)CSCC(=O)OC,"1,40E+10","0,994982691",Sulfur,train
3-Methylbenzoic acid,99-04-7,Cc1cccc(c1)C(O)=O,"2,00E+09","0,853471957",CarboxylicAcid,train
"(2,3,4-trihydroxy-5-oxopentyl) dihydrogen phosphate",3615-55-2,OC(CO[P](O)(O)=O)C(O)C(O)C=O,"2,50E+07","0,534801639",Alcohol,train
Z,6950240,COc1cccc(C([O-])=O)c1OC,"8,50E+09","0,95869499",CarboxylicAcid,train
acetic acid,64-19-7,CC(O)=O,"2,36E+04","0,028264038",CarboxylicAcid,train
4-propan-2-ylbenzenesulfonic acid,71407-44-8,O=S(C1=CC=C(C(C)C)C=C1)(O)=O,"5,40E+08","0,758254447",Did not work,train
carbonate,3812-32-6,[O-]C([O-])=O,"4,10E+06","0,403328108",CarboxylicAcid,train
"6-methyl-1H-pyrimidine-2,4-dione",626-48-2,CC1=CC(=O)NC(=O)N1,"1,90E+09","0,849741799",Amine,train
methyl prop-2-enoate,96-33-3,COC(=O)C=C,"9,10E+06","0,46130855",Ester,train
bicarbonate,71-52-3,OC([O-])=O,"9,10E+06","0,46130855",CarboxylicAcid,train
"2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol",58-61-7,Nc1ncnc2n(cnc12)C3OC(CO)C(O)C3O,"2,70E+09","0,875296203",Amine,train
9H-Fluoren-9-ol,1689-64-1,OC1c2ccccc2c3ccccc13,"4,00E+09","0,903879098",Alcohol,train
Pyridine,110-86-1,c1ccncc1,"2,20E+08","0,69295422",Amine,train
